grade,chapter_title,chapter_order,topic_title,topic_order,type,question_text,question_image,option_1,option_2,option_3,option_4,correct_option,fill_answer,fill_variants,explanation,difficulty
3,Các con số tới 1000,1,Trăm và chục,1,mcq,Số 350 gồm mấy trăm và mấy chục?,,3 trăm 5 chục,5 trăm 3 chục,35 chục,3 chục 5 trăm,1,,,350 = 3 trăm + 5 chục + 0 đơn vị,1
3,Các con số tới 1000,1,Trăm và chục,1,fill,Số 720 có mấy trăm?,,,,,,,7,bảy,720 = 7 trăm + 2 chục + 0 đơn vị,1
3,Các con số tới 1000,1,Các con số 100-500,2,mcq,Số nào lớn nhất trong các số 215; 312; 198; 401?,,215,312,198,401,4,,,401 > 312 > 215 > 198,1
3,Các con số tới 1000,1,Các con số 100-500,2,fill,Số liền sau của 399 là?,,,,,,,400,bốn trăm,399 + 1 = 400,1
3,Các con số tới 1000,1,Các con số 500-1000,3,mcq,Số nào đứng giữa 698 và 700?,,697,698,699,701,3,,,698 < 699 < 700,1
3,Các con số tới 1000,1,Các con số 500-1000,3,fill,Số lớn nhất có ba chữ số là?,,,,,,,999,chín trăm chín mươi chín,Số lớn nhất có 3 chữ số là 999,2
3,Các con số tới 1000,1,So sánh và sắp xếp,4,mcq,"Sắp xếp theo thứ tự tăng dần: 540; 450; 504; 405",,405 - 450 - 504 - 540,540 - 504 - 450 - 405,450 - 405 - 540 - 504,504 - 540 - 405 - 450,1,,,405 < 450 < 504 < 540,2
3,Các con số tới 1000,1,So sánh và sắp xếp,4,fill,Điền dấu (>; <; =): 567 ___ 576. Số bé hơn là?,,,,,,,567,năm trăm sáu mươi bảy,567 < 576 vì cùng hàng trăm nhưng 6 < 7 ở hàng chục,2
3,Các con số tới 1000,1,Trăm và chục,1,mcq,Số nào có chữ số hàng trăm là 4 và hàng chục là 8?,,48,408,480,840,3,,,480 có hàng trăm = 4 và hàng chục = 8,2
3,Các con số tới 1000,1,Các con số 100-500,2,fill,Điền số còn thiếu: 295; 296; 297; ?; 299,,,,,,,298,hai trăm chín mươi tám,Dãy số tự nhiên tăng dần: 297 + 1 = 298,1
